cluster_id,n_papers,label,top_keywords,suggested_lcc_subclass,suggested_lcc_division,suggestion_confidence,suggestion_agreement,lcc_subclass,lcc_division,skip,notes
0,854,phonon | structure | phonon band,phonon | structure | phonon band | phonon calculation | band structure | band | calculation | mprester | volume phonon | mprester phonon | structure paths | properties constant,TK,TK7874,0.759,85.6%,QC,QC176.8.P5,,
1,927,covid | 19 | covid 19,covid | 19 | covid 19 | cov | sars | sars cov | patients | coronavirus | infection | disease | severe | respiratory,RC,RC607,0.751,92.1%,RC,RC150,,
2,317,patients | ms | cells,patients | ms | cells | disease | eae | clinical | multiple | sclerosis | multiple sclerosis | autoimmune | anti | cell,RC,RC924,0.768,67.8%,RC,RC377,,changed: multiple sclerosis not rheumatoid arthritis
3,5858,bone | cells | patients,bone | cells | patients | treatment | group | dental | periodontal | cell | surface | clinical | teeth | significantly,RK,RK667,0.906,64.2%,RK,RK361,,
4,497,patients | eyes | visual,patients | eyes | visual | eye | retinal | mean | glaucoma | macular | age | group | treatment | acuity,RC,RC660,0.620,85.9%,RE,RE1,,changed: ophthalmology (glaucoma/retinal/macular) not metabolic
5,286,circadian | clock | scn,circadian | clock | scn | rhythms | light | expression | activity | rhythm | phase | period | mice | circadian clock,QP,QP364,0.834,34.3%,QP,QP84.6,,low agreement — verify
6,313,malaria | parasite | falciparum,malaria | parasite | falciparum | plasmodium | parasites | infection | cells | mice | activity | plasmodium falciparum | antimalarial | blood,RC,RC848,0.866,42.8%,QL,QL757,,
7,307,imaging | mri | diffusion,imaging | mri | diffusion | images | mr | echo | time | magnetic | brain | image | signal | field,RC,RC78,0.837,79.5%,RC,RC78.7.N83,,
8,363,pylori | gastric | infection,pylori | gastric | infection | patients | pylori infection | eradication | helicobacter | cancer | helicobacter pylori | therapy | treatment | strains,RC,RC848,0.845,62.5%,RC,RC840.H44,,changed: gastroduodenal/digestive disease not parasitic
9,453,dose | ct | image,dose | ct | image | radiation | images | treatment | phantom | beam | imaging | mm | ray | quality,RC,RC78,0.944,95.1%,RC,RC78.7.T6,,
10,246,patients | gh | acth,patients | gh | acth | pituitary | treatment | adrenal | levels | cortisol | hormone | growth | syndrome | normal,RC,RC648,0.834,99.2%,RC,RC648,,
11,255,patients | cases | patient,patients | cases | patient | airway | case | intubation | abscess | tracheal | treatment | years | surgical | year,RC,RC262,0.847,84.3%,RF,RF517,,
12,267,rats | mice | induced,rats | mice | induced | cells | liver | dose | weeks | cell | effect | male | treatment | tumors,RC,RC660,0.783,76.8%,RC,RC268.5,,changed: experimental animal pharmacology/toxicology
13,345,exposure | effects | rats,exposure | effects | rats | mg | kg | levels | lead | day | blood | dose | cadmium | observed,RC,RC648,0.806,58.6%,RA,RA1219,,changed: heavy metal environmental toxicology
14,787,drug | plasma | liver,drug | plasma | liver | administration | acid | concentration | rats | absorption | mg | dose | metabolism | oral,RM,RM147,0.957,79.9%,RM,RM301.5,,
15,948,model | theory | field,model | theory | field | mass | energy | gauge | models | scalar | gravity | bstract | higgs | matter,QC,QC791,0.782,20.9%,QC,QC174.45,,changed: particle physics theory (Higgs/gauge) — QC793 not QC791
16,1729,mass | star | galaxies,mass | star | galaxies | 10 | observations | emission | stars | ray | high | formation | galaxy | stellar,QB,QB651,0.782,91.0%,QB,QB460,,
17,543,patients | epilepsy | seizures,patients | epilepsy | seizures | seizure | eeg | treatment | temporal | epileptic | brain | clinical | summary | lobe,RC,RC372,0.943,84.7%,RC,RC372,,
18,394,obesity | children | intake,obesity | children | intake | food | eating | bmi | weight | age | dietary | health | years | body,RC,RC660,0.805,85.5%,RC,RC628,,changed: obesity/nutritional disorders
19,851,adsorption | extraction | solution,adsorption | extraction | solution | acid | water | ii | ph | determination | ions | concentration | metal | iii,QE,QE515,0.847,43.8%,QD,QD79,,changed: analytical chemistry (metal ion determination) not geology
20,322,endothelial | cells | angiogenesis,endothelial | cells | angiogenesis | vegf | cell | vascular | expression | endothelial cells | factor | growth | hif | hypoxia,RC,RC660,0.899,78.6%,QH,QH573,,changed: vascular cell biology (VEGF/angiogenesis) not metabolic
21,396,liquid | crystal | liquid crystal,liquid | crystal | liquid crystal | nematic | phase | alignment | field | optical | cell | surface | lc | crystals,TK,TK7872,0.958,90.7%,QD,QD923,,
22,321,patients | anesthesia | pain,patients | anesthesia | pain | group | mg | effects | propofol | kg | surgery | dose | 10 | anesthetic,RC,RC262,0.790,75.4%,RD,RD82,,changed: anesthesia/anesthesiology not respiratory
23,456,covid | 19 | covid 19,covid | 19 | covid 19 | pandemic | health | social | 19 pandemic | disease | risk | 2020 | mental | anxiety,RC,RC569,0.927,61.8%,RA,RA644.C67,,
24,710,patients | syndrome | mutations,patients | syndrome | mutations | gene | mutation | clinical | disease | patient | cases | associated | genetic | diagnosis,RC,RC271,0.925,96.8%,RB,RB155,,
25,244,muscle | cells | cell,muscle | cells | cell | expression | differentiation | skeletal | skeletal muscle | dmd | myogenic | gene | muscular | mice,QH,QH491,0.792,53.3%,QP,QP321,,changed: muscular dystrophy/myopathy disease focus
